ID;Please select your age range.;Please select your gender.;What type of secondary school did you attend?;What is your average matric result?;Please select what type of student are you at Eduvos;Which faculty are you in at Eduvos?;What is your current grade average? (The current average of the program you are enrolled in).;How many hours do you study every week on average?;Do you have access to the following? Please select all that applies to you .);Has online learning had an impact on your ability to study?
1;24-26 years;Male;State/Public;40-49%;Full-time student;Information Technology;Below 40%;1 - 10 hours weekly;"A location or place where you may study;";Yes
2;21-23 years;Male;State/Public;60-69%;Full-time student;Applied Sciences;50-59%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
4;24-26 years;Male;State/Public;50-59%;Part-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
5;24-26 years;Male;State/Public;70-79%;Full-time student;Information Technology;90-100%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
6;21-23 years;Male;Private;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
7;21-23 years;Male;Private;60-69%;Full-time student;Information Technology;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
8;21-23 years;Male;State/Public;50-59%;Full-time student;Information Technology;90-100%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
9;17-20 years;Male;Private;70-79%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
10;21-23 years;Male;Home Schooles;50-59%;Full-time student;Information Technology;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
11;17-20 years;Male;Private;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
12;21-23 years;Female;Private;80-89%;Full-time student;Information Technology;80-89%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
13;17-20 years;Male;State/Public;70-79%;Full-time student;Information Technology;80-89%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
14;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
15;17-20 years;Male;State/Public;70-79%;Full-time student;Information Technology;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
16;21-23 years;Male;Private;50-59%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"A location or place where you may study;Electricity at your place of study;";No
17;21-23 years;Male;Private;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
18;17-20 years;Male;State/Public;70-79%;Full-time student;Information Technology;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
19;21-23 years;Female;State/Public;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
20;17-20 years;Female;Private;60-69%;Full-time student;Information Technology;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
